ID;Name;Position;Number;Club;CountryOfClub;DateOfBirth;Age;HeightCM;Country;Caps;Goals;PlaysInHomeCountry
202280;Luis SARITAMA;Midfielder;19;Barcelona SC;Ecuador;20/out/83;30;175;Ecuador;48;0;Yes
306206;Khosro HEYDARI;Forward;2;Esteghlal Tehran FC;Iran;14/set/83;30;175;Iran;47;0;Yes
200133;Lucas BIGLIA;Midfielder;6;SS Lazio;Italy;30/jan/86;28;175;Argentina;17;0;No
350129;Miguel PONCE;Defender;16;Deportivo Toluca FC;Mexico;12/abr/89;25;175;Mexico;7;0;Yes
379974;Waylon FRANCIS;Defender;12;Columbus Crew;USA;20/set/90;23;175;Costa Rica;1;0;No
380060;Cedric DJEUGOUE;Defender;4;Coton Sport FC;Cameroon;28/ago/92;21;175;Cameroon;3;0;Yes
368973;DeAndre YEDLIN;Defender;2;Seattle Sounders FC;USA;09/jul/93;20;175;USA;4;0;Yes
336722;Alan PULIDO;Forward;11;Tigres UANL;Mexico;08/mar/91;23;176;Mexico;5;4;Yes
196842;Wayne ROONEY;Forward;10;Manchester United FC;England;24/out/85;28;176;England;90;38;Yes
218306;WILLIAN;Midfielder;19;Chelsea FC;England;09/ago/88;25;176;Brazil;6;2;No
358891;Oleg SHATOV;Midfielder;17;FC Zenit St. Petersburg;Russia;29/jul/90;23;176;Russia;6;2;Yes
309316;Mario GOETZE;Forward;19;FC Bayern Muenchen;Germany;03/jun/92;22;176;Germany;28;7;Yes
375459;Fidel MARTINEZ;Midfielder;20;Club Tijuana;Mexico;15/fev/90;24;176;Ecuador;8;2;No
300235;Victor FAYZULIN;Midfielder;20;FC Zenit St. Petersburg;Russia;22/abr/86;28;176;Russia;18;4;Yes
344714;Ahmed MUSA;Forward;7;CSKA Moscow;Russia;14/out/92;21;176;Nigeria;37;5;No
218253;Carlos SALCIDO;Defender;3;Tigres UANL;Mexico;02/abr/80;34;176;Mexico;120;10;Yes
323698;Vincent ABOUBAKAR;Forward;10;FC Lorient;France;22/jan/92;22;176;Cameroon;24;2;No
168832;Georgios KARAGOUNIS;Midfielder;10;Fulham FC;England;06/mar/77;37;176;Greece;134;10;No
303394;Carlos PENA;Midfielder;21;Club Leon;Mexico;29/mar/90;24;176;Mexico;14;1;Yes
230114;Jorge CLAROS;Midfielder;20;CD Motagua;Honduras;08/jan/86;28;176;Honduras;49;3;Yes
268474;Atsuto UCHIDA;Defender;2;FC Schalke 04;Germany;27/mar/88;26;176;Japan;67;2;No
185359;Diego PEREZ;Midfielder;15;Bologna FC;Italy;18/mai/80;34;176;Uruguay;89;2;No
237071;Boniek GARCIA;Midfielder;14;Houston Dynamo;USA;04/set/84;29;176;Honduras;90;2;No
216438;Igor DENISOV;Midfielder;7;FC Dynamo Moscow;Russia;17/mai/84;30;176;Russia;43;0;Yes
317072;Henri BEDIMO;Defender;12;Olympique Lyonnais;France;04/jun/84;30;176;Cameroon;30;0;No
321736;Gotoku SAKAI;Defender;3;VfB Stuttgart;Germany;14/mar/91;23;176;Japan;12;0;No
370522;Serge AURIER;Defender;17;Toulouse FC;France;24/dez/92;21;176;Ivory Coast;7;0;No
339116;Massimo LUONGO;Midfielder;21;Swindon Town FC;England;25/set/92;21;176;Australia;1;0;No
227851;Oribe PERALTA;Forward;19;Club Santos Laguna;Mexico;12/jan/84;30;177;Mexico;27;15;Yes
338673;Uche NWOFOR;Forward;19;SC Heerenveen;Netherlands;17/set/91;22;177;Nigeria;6;3;No
296994;El Arabi SOUDANI;Forward;15;GNK Dinamo Zagreb;Croatia;25/nov/87;26;177;Algeria;21;10;No
214384;EDUARDO;Forward;22;Shakhtar Donetsk;Ukraine;25/fev/83;31;177;Croatia;62;29;No
275096;Yoichiro KAKITANI;Forward;11;Cerezo Osaka;Japan;03/jan/90;24;177;Japan;11;5;Yes
268149;LEE Keunho;Forward;11;Sangju Sangmu FC;South Korea;11/abr/85;29;177;South Korea;63;18;Yes
274090;Victor MOSES;Forward;11;Liverpool FC;England;12/dez/90;23;177;Nigeria;21;6;No
319358;Sofiane FEGHOULI;Forward;10;Valencia CF;Spain;26/dez/89;24;177;Algeria;18;5;No
356403;Izet HAJROVIC;Midfielder;20;Galatasaray SK;Turkey;04/ago/91;22;177;Bosnia & Herzegovina;8;2;No
316997;Enzo PEREZ;Midfielder;8;SL Benfica;Portugal;22/fev/86;28;177;Argentina;6;1;No
298892;Augusto FERNANDEZ;Midfielder;13;Celta Vigo;Spain;10/abr/86;28;177;Argentina;7;1;No
367396;Fabrice OLINGA;Forward;19;SV Zulte Waregem;Belgium;12/mai/96;18;177;Cameroon;7;1;No
360728;Graham ZUSI;Midfielder;19;Sporting Kansas City;USA;18/ago/86;27;177;USA;22;3;Yes
177876;Andrea PIRLO;Midfielder;21;Juventus FC;Italy;19/mai/79;35;177;Italy;108;13;Yes
